,coils EUR/ton
20/04/2018,781.0
21/04/2018,781.0
22/04/2018,781.0
23/04/2018,781.0
24/04/2018,781.0
25/04/2018,781.0
26/04/2018,781.0
27/04/2018,781.0
28/04/2018,781.0
29/04/2018,781.0
30/04/2018,781.0
31/04/2018,781.0
01/05/2018,773.0
02/05/2018,773.0
03/05/2018,773.0
04/05/2018,773.0
05/05/2018,773.0
06/05/2018,773.0
07/05/2018,773.0
08/05/2018,773.0
09/05/2018,773.0
10/05/2018,773.0
11/05/2018,773.0
12/05/2018,773.0
13/05/2018,773.0
14/05/2018,773.0
15/05/2018,773.0
16/05/2018,773.0
17/05/2018,773.0
18/05/2018,773.0
19/05/2018,773.0
20/05/2018,773.0
21/05/2018,773.0
22/05/2018,773.0
23/05/2018,773.0
24/05/2018,773.0
25/05/2018,773.0
26/05/2018,773.0
27/05/2018,773.0
28/05/2018,773.0
29/05/2018,773.0
30/05/2018,773.0
31/05/2018,773.0
01/06/2018,763.0
02/06/2018,763.0
03/06/2018,763.0
04/06/2018,763.0
05/06/2018,763.0
06/06/2018,763.0
07/06/2018,763.0
08/06/2018,763.0
09/06/2018,763.0
10/06/2018,763.0
11/06/2018,763.0
12/06/2018,763.0
13/06/2018,763.0
14/06/2018,763.0
15/06/2018,763.0
16/06/2018,763.0
17/06/2018,763.0
18/06/2018,763.0
19/06/2018,763.0
20/06/2018,763.0
21/06/2018,763.0
22/06/2018,763.0
23/06/2018,763.0
24/06/2018,763.0
25/06/2018,763.0
26/06/2018,763.0
27/06/2018,763.0
28/06/2018,763.0
29/06/2018,763.0
30/06/2018,763.0
31/06/2018,763.0
01/07/2018,763.0
02/07/2018,763.0
03/07/2018,763.0
04/07/2018,763.0
05/07/2018,763.0
06/07/2018,763.0
07/07/2018,763.0
08/07/2018,763.0
09/07/2018,763.0
10/07/2018,763.0
11/07/2018,763.0
12/07/2018,763.0
13/07/2018,763.0
14/07/2018,763.0
15/07/2018,763.0
16/07/2018,763.0
17/07/2018,763.0
18/07/2018,763.0
19/07/2018,763.0
20/07/2018,763.0
21/07/2018,763.0
22/07/2018,763.0
23/07/2018,763.0
24/07/2018,763.0
25/07/2018,763.0
26/07/2018,763.0
27/07/2018,763.0
28/07/2018,763.0
29/07/2018,763.0
30/07/2018,763.0
31/07/2018,763.0
01/08/2018,763.0
02/08/2018,763.0
03/08/2018,763.0
04/08/2018,763.0
05/08/2018,763.0
06/08/2018,763.0
