,variable,Date,value
184,USD/EUROS,2022-05-31,0.94
185,USD/EUROS,2022-06-30,0.94
186,USD/EUROS,2022-07-31,0.91
187,USD/EUROS,2022-08-31,0.9
188,USD/EUROS,2022-09-30,0.92
189,USD/EUROS,2022-10-31,0.89
190,USD/EUROS,2022-11-30,0.95
191,USD/EUROS,2022-12-31,0.94
192,aluminium (EUR),2015-01-31,1570.77
193,aluminium (EUR),2015-02-28,1538.56
194,aluminium (EUR),2015-03-31,1588.95
195,aluminium (EUR),2015-04-30,1646.33
196,aluminium (EUR),2015-05-31,1565.67
197,aluminium (EUR),2015-06-30,1572.21
198,aluminium (EUR),2015-07-31,1570.0
199,aluminium (EUR),2015-08-31,1523.29
200,aluminium (EUR),2015-09-30,1535.03
201,aluminium (EUR),2015-10-31,1520.46
202,aluminium (EUR),2015-11-30,1525.32
203,aluminium (EUR),2015-12-31,1530.73
204,aluminium (EUR),2016-01-31,1484.42
205,aluminium (EUR),2016-02-29,1482.07
206,aluminium (EUR),2016-03-31,1456.67
207,aluminium (EUR),2016-04-30,1449.46
208,aluminium (EUR),2016-05-31,1447.35
209,aluminium (EUR),2016-06-30,1439.92
210,aluminium (EUR),2016-07-31,1448.27
211,aluminium (EUR),2016-08-31,1455.99
212,aluminium (EUR),2016-09-30,1444.37
213,aluminium (EUR),2016-10-31,1458.93
214,aluminium (EUR),2016-11-30,1487.48
215,aluminium (EUR),2016-12-31,1503.74
216,aluminium (EUR),2017-01-31,1527.18
217,aluminium (EUR),2017-02-28,1563.91
218,aluminium (EUR),2017-03-31,1579.23
219,aluminium (EUR),2017-04-30,1563.04
220,aluminium (EUR),2017-05-31,1509.71
221,aluminium (EUR),2017-06-30,1489.06
222,aluminium (EUR),2017-07-31,1467.51
223,aluminium (EUR),2017-08-31,1525.15
224,aluminium (EUR),2017-09-30,1523.85
225,aluminium (EUR),2017-10-31,1565.67
226,aluminium (EUR),2017-11-30,1558.91
227,aluminium (EUR),2017-12-31,1536.78
228,aluminium (EUR),2018-01-31,1481.27
229,aluminium (EUR),2018-02-28,1489.45
230,aluminium (EUR),2018-03-31,1465.88
231,aluminium (EUR),2018-04-30,1520.6
232,aluminium (EUR),2018-05-31,1531.74
233,aluminium (EUR),2018-06-30,1486.66
234,aluminium (EUR),2018-07-31,1495.92
