,variable,Year/Month,value
263,beams EUR/ton,15/11,
264,beams EUR/ton,15/12,
265,beams EUR/ton,16/01,
266,beams EUR/ton,16/02,
267,beams EUR/ton,16/03,
268,beams EUR/ton,16/04,
269,beams EUR/ton,16/05,
270,beams EUR/ton,16/06,
271,beams EUR/ton,16/07,
272,beams EUR/ton,16/08,
273,beams EUR/ton,16/09,
274,beams EUR/ton,16/10,
275,beams EUR/ton,16/11,
276,beams EUR/ton,16/12,
277,beams EUR/ton,17/01,
278,beams EUR/ton,17/02,
279,beams EUR/ton,17/03,
280,beams EUR/ton,17/04,
281,beams EUR/ton,17/05,
282,beams EUR/ton,17/06,
283,beams EUR/ton,17/07,
284,beams EUR/ton,17/08,
285,beams EUR/ton,17/09,
286,beams EUR/ton,17/10,
287,beams EUR/ton,17/11,
288,beams EUR/ton,17/12,
289,beams EUR/ton,18/01,
290,beams EUR/ton,18/02,
291,beams EUR/ton,18/03,
292,beams EUR/ton,18/04,
293,beams EUR/ton,18/05,
294,beams EUR/ton,18/06,
295,beams EUR/ton,18/07,
296,beams EUR/ton,18/08,
297,beams EUR/ton,18/09,
298,beams EUR/ton,18/10,
299,beams EUR/ton,18/11,
300,beams EUR/ton,18/12,
301,beams EUR/ton,19/01,
302,beams EUR/ton,19/02,
303,beams EUR/ton,19/03,
304,beams EUR/ton,19/04,
305,beams EUR/ton,19/05,
306,beams EUR/ton,19/06,
307,beams EUR/ton,19/07,
308,beams EUR/ton,19/08,
309,beams EUR/ton,19/09,
310,beams EUR/ton,19/10,
311,beams EUR/ton,19/11,
312,beams EUR/ton,19/12,
313,beams EUR/ton,20/01,
314,beams EUR/ton,20/02,
315,beams EUR/ton,20/03,
316,beams EUR/ton,20/04,
317,beams EUR/ton,20/05,
318,beams EUR/ton,20/06,
319,beams EUR/ton,20/07,
320,beams EUR/ton,20/10,
321,beams EUR/ton,20/11,
322,beams EUR/ton,20/12,
323,beams EUR/ton,21/01,
324,beams EUR/ton,21/02,
325,beams EUR/ton,21/03,
326,beams EUR/ton,21/04,
327,beams EUR/ton,21/05,
328,beams EUR/ton,21/07,
329,beams EUR/ton,21/08,
330,beams EUR/ton,21/09,
331,beams EUR/ton,21/10,
332,beams EUR/ton,21/11,
333,beams EUR/ton,21/12,
334,beams EUR/ton,22/01,
335,beams EUR/ton,22/02,
336,beams EUR/ton,22/03,
337,beams EUR/ton,22/04,
338,beams EUR/ton,22/05,
339,beams EUR/ton,22/06,
340,coils EUR/ton,15/03,
341,coils EUR/ton,15/04,
342,coils EUR/ton,15/05,
343,coils EUR/ton,15/06,
344,coils EUR/ton,15/07,
345,coils EUR/ton,15/08,
