,aluminium (USD)
22/08/2018,1655.0
21/08/2018,1600.0
20/08/2018,1600.0
16/08/2018,1605.0
15/08/2018,1645.0
14/08/2018,1640.0
13/08/2018,1700.0
09/08/2018,1700.0
08/08/2018,1700.0
07/08/2018,1700.0
06/08/2018,1700.0
02/08/2018,1740.0
01/08/2018,1750.0
31/07/2018,1775.0
30/07/2018,1775.0
26/07/2018,1790.0
25/07/2018,1790.0
24/07/2018,1790.0
19/07/2018,1750.0
18/07/2018,1775.0
17/07/2018,1780.0
16/07/2018,1785.0
12/07/2018,1775.0
11/07/2018,1765.0
10/07/2018,1765.0
09/07/2018,1755.0
05/07/2018,1735.0
04/07/2018,1735.0
03/07/2018,1735.0
02/07/2018,1735.0
28/06/2018,1725.0
27/06/2018,1730.0
26/06/2018,1740.0
25/06/2018,1750.0
21/06/2018,1755.0
20/06/2018,1765.0
19/06/2018,1785.0
18/06/2018,1785.0
14/06/2018,1785.0
13/06/2018,1785.0
12/06/2018,1865.0
11/06/2018,1905.0
06/06/2018,1865.0
05/06/2018,1845.0
04/06/2018,1865.0
31/05/2018,1855.0
30/05/2018,1815.0
24/05/2018,1890.0
23/05/2018,1895.0
22/05/2018,1895.0
21/05/2018,1895.0
17/05/2018,1885.0
16/05/2018,1905.0
15/05/2018,1905.0
14/05/2018,1935.0
10/05/2018,1935.0
09/05/2018,1935.0
03/05/2018,1895.0
02/05/2018,1930.0
01/05/2018,1930.0
30/04/2018,1930.0
26/04/2018,1927.5
25/04/2018,1945.0
24/04/2018,1945.0
23/04/2018,1972.5
19/04/2018,1965.0
17/04/2018,1900.0
16/04/2018,1905.0
12/04/2018,1875.0
11/04/2018,1885.0
10/04/2018,1895.0
09/04/2018,1865.0
05/04/2018,1805.0
04/04/2018,1815.0
28/03/2018,1815.0
27/03/2018,1805.0
26/03/2018,1805.0
22/03/2018,1855.0
21/03/2018,1855.0
20/03/2018,1855.0
19/03/2018,1855.0
15/03/2018,1855.0
14/03/2018,1855.0
13/03/2018,1855.0
08/03/2018,1860.25
07/03/2018,1860.25
05/03/2020,1423.75
04/03/2020,1424.25
03/03/2020,1429.5
02/03/2020,1413.5
27/02/2020,1404.0
26/02/2020,1392.0
25/02/2020,1396.5
24/02/2020,1386.5
20/02/2020,1404.0
19/02/2020,1399.0
18/02/2020,1389.0
17/02/2020,1385.0
13/02/2020,1375.0
12/02/2020,1360.0
11/02/2020,1360.0
10/02/2020,1330.0
06/02/2020,1370.0
05/02/2020,1370.0
04/02/2020,1375.0
03/02/2020,1375.0
30/01/2020,1385.0
29/01/2020,1405.0
28/01/2020,1400.0
27/01/2020,1410.0
22/01/2020,1420.0
21/01/2020,1430.0
20/01/2020,1435.0
16/01/2020,1405.0
15/01/2020,1400.0
14/01/2020,1355.0
13/01/2020,1350.0
09/01/2020,1385.0
08/01/2020,1400.0
07/01/2020,1400.0
06/01/2020,1355.0
02/01/2020,1340.0
31/12/2019,1340.0
30/12/2019,1340.0
23/12/2019,1325.0
19/12/2019,1330.0
18/12/2019,1350.0
17/12/2019,1395.0
16/12/2019,1400.0
12/12/2019,1395.0
11/12/2019,1400.0
10/12/2019,1400.0
09/12/2019,1405.0
05/12/2019,1340.0
03/12/2019,1305.0
02/12/2019,1280.0
28/11/2019,1285.0
27/11/2019,1305.0
26/11/2019,1295.0
25/11/2019,1310.0
21/11/2019,1262.0
20/11/2019,1221.0
19/11/2019,1200.0
18/11/2019,1199.5
14/11/2019,1224.0
13/11/2019,1243.5
12/11/2019,1238.5
11/11/2019,1228.0
07/11/2019,1207.5
06/11/2019,1212.0
05/11/2019,1216.0
04/11/2019,1245.5
31/10/2019,1264.5
30/10/2019,1264.0
29/10/2019,1273.0
28/10/2019,1252.0
