,aluminium (USD)
15/04/2019,1329.0
11/04/2019,1354.5
10/04/2019,1374.0
09/04/2019,1354.5
08/04/2019,1349.75
04/04/2019,1385.5
03/04/2019,1400.0
02/04/2019,1430.0
01/04/2019,1430.0
28/03/2019,1410.0
27/03/2019,1404.5
26/03/2019,1409.5
25/03/2019,1404.5
21/03/2019,1450.0
20/03/2019,1443.0
19/03/2019,1438.0
18/03/2019,1443.0
14/03/2019,1453.5
13/03/2019,1453.0
12/03/2019,1453.0
11/03/2019,1448.5
04/03/2021,2210.5
03/03/2021,2211.0
02/03/2021,2211.0
01/03/2021,2215.0
25/02/2021,2218.5
24/02/2021,2257.0
23/02/2021,2201.5
22/02/2021,2218.5
18/02/2021,2137.0
17/02/2021,2136.0
16/02/2021,2116.5
15/02/2021,2136.0
11/02/2021,1985.5
10/02/2021,1984.0
09/02/2021,1940.5
08/02/2021,1940.0
04/02/2021,1979.75
03/02/2021,1984.0
02/02/2021,1965.0
01/02/2021,1965.5
28/01/2021,1942.5
27/01/2021,1949.0
26/01/2021,1955.0
25/01/2021,1958.0
20/01/2021,1965.5
19/01/2021,1967.5
18/01/2021,2005.0
14/01/2021,1974.0
13/01/2021,1974.0
12/01/2021,1974.0
11/01/2021,1974.0
07/01/2021,1958.5
06/01/2021,1958.5
05/01/2021,1921.5
04/01/2021,1922.0
30/12/2020,1922.0
29/12/2020,1922.0
23/12/2020,1915.0
22/12/2020,1915.0
21/12/2020,1919.0
17/12/2020,1924.0
16/12/2020,1897.0
15/12/2020,1899.5
14/12/2020,1820.0
10/12/2020,1925.0
09/12/2020,1909.75
08/12/2020,1800.0
07/12/2020,1800.0
02/12/2020,1693.0
01/12/2020,1700.0
30/11/2020,1646.5
26/11/2020,1641.0
25/11/2020,1640.0
24/11/2020,1640.0
23/11/2020,1644.5
19/11/2020,1644.0
18/11/2020,1653.0
17/11/2020,1628.0
16/11/2020,1608.0
12/11/2020,1607.5
11/11/2020,1606.5
09/11/2020,1606.0
05/11/2020,1541.5
