,Date,variable,value
220,14/01/2015,aluminium (EUR),1568.25
221,13/01/2015,aluminium (EUR),1568.25
222,12/01/2015,aluminium (EUR),
223,09/01/2015,aluminium (EUR),1549.8
224,08/01/2015,aluminium (EUR),1525.75
225,07/01/2015,aluminium (EUR),1507.8
226,05/01/2015,aluminium (EUR),1516.2
227,02/01/2015,aluminium (EUR),
228,30/12/2016,aluminium (EUR),1513.35
229,29/12/2016,aluminium (EUR),1513.35
230,28/12/2016,aluminium (EUR),1529.76
231,23/12/2016,aluminium (EUR),1530.24
232,22/12/2016,aluminium (EUR),1530.24
233,21/12/2016,aluminium (EUR),1530.24
234,20/12/2016,aluminium (EUR),1530.24
235,19/12/2016,aluminium (EUR),1530.24
236,16/12/2016,aluminium (EUR),1540.32
237,15/12/2016,aluminium (EUR),1540.32
238,14/12/2016,aluminium (EUR),1524.2749999999999
239,13/12/2016,aluminium (EUR),1508.23
240,09/12/2016,aluminium (EUR),1524.75
241,08/12/2016,aluminium (EUR),1504.0
242,07/12/2016,aluminium (EUR),1455.45
243,06/12/2016,aluminium (EUR),1483.3500000000001
244,05/12/2016,aluminium (EUR),1483.3500000000001
245,02/12/2016,aluminium (EUR),1508.6999999999998
246,01/12/2016,aluminium (EUR),1508.6999999999998
247,30/11/2016,aluminium (EUR),1508.6999999999998
248,29/11/2016,aluminium (EUR),1513.3999999999999
249,28/11/2016,aluminium (EUR),1513.3999999999999
250,25/11/2016,aluminium (EUR),
251,24/11/2016,aluminium (EUR),1534.725
252,22/11/2016,aluminium (EUR),1513.87
253,21/11/2016,aluminium (EUR),1490.37
254,18/11/2016,aluminium (EUR),1500.24
255,17/11/2016,aluminium (EUR),1481.4399999999998
256,16/11/2016,aluminium (EUR),1465.68
257,15/11/2016,aluminium (EUR),1480.095
258,14/11/2016,aluminium (EUR),1494.045
259,11/11/2016,aluminium (EUR),1497.3
260,10/11/2016,aluminium (EUR),1478.9
261,09/11/2016,aluminium (EUR),1478.9
262,08/11/2016,aluminium (EUR),1467.375
263,07/11/2016,aluminium (EUR),1462.825
264,04/11/2016,aluminium (EUR),1447.65
265,03/11/2016,aluminium (EUR),1447.65
266,02/11/2016,aluminium (EUR),1447.65
267,01/11/2016,aluminium (EUR),1452.15
268,31/10/2016,aluminium (EUR),1472.835
269,28/10/2016,aluminium (EUR),1473.7450000000001
270,27/10/2016,aluminium (EUR),1471.54
271,26/10/2016,aluminium (EUR),1454.52
272,25/10/2016,aluminium (EUR),1468.3200000000002
273,24/10/2016,aluminium (EUR),1463.72
274,21/10/2016,aluminium (EUR),
275,20/10/2016,aluminium (EUR),1459.5800000000002
276,18/10/2016,aluminium (EUR),1457.365
277,17/10/2016,aluminium (EUR),1439.3925000000002
278,14/10/2016,aluminium (EUR),1476.4750000000001
279,13/10/2016,aluminium (EUR),1460.25
280,12/10/2016,aluminium (EUR),1476.4750000000001
281,11/10/2016,aluminium (EUR),1460.25
282,10/10/2016,aluminium (EUR),1460.25
283,07/10/2016,aluminium (EUR),1444.47
284,06/10/2016,aluminium (EUR),1460.7
